bulk0,bulk1,bulk2,bulk3,byte_ratio,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_effeciency,client_packet0,client_packet1,client_packets,client_packets_per_bulk,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,packet_ratio,payload_ratio,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_efficiency,server_packet0,server_packet1,server_packets,server_packets_per_bulk,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
36,92,0,0,0.44,1,36.0,0.0,44,0.818181818182,44,0,1,1.0,44.0,0.0,36,0,1.0,0.391304347826,DNS,1,92.0,0.0,100,0.92,100,0,1,1.0,100.0,0.0,92,
32,48,0,0,0.714285714286,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.666666666667,DNS,1,48.0,0.0,56,0.857142857143,56,0,1,1.0,56.0,0.0,48,
32,132,0,0,0.285714285714,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.242424242424,DNS,1,132.0,0.0,140,0.942857142857,140,0,1,1.0,140.0,0.0,132,
32,60,0,0,0.588235294118,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.533333333333,DNS,1,60.0,0.0,68,0.882352941176,68,0,1,1.0,68.0,0.0,60,
36,84,0,0,0.478260869565,1,36.0,0.0,44,0.818181818182,44,0,1,1.0,44.0,0.0,36,0,1.0,0.428571428571,DNS,1,84.0,0.0,92,0.913043478261,92,0,1,1.0,92.0,0.0,84,
510,765992,0,0,0.0231304090161,1,510.0,0.0,18110,0.0281612368857,542,32,470,470.0,38.5319148936,24.6251480728,510,1,0.88679245283,0.000665803298207,HTTP,1,765992.0,0.0,782952,0.978338391115,32,1480,530,530.0,1477.26792453,62.8377358491,765992,MPEG
32,48,0,0,0.714285714286,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.666666666667,DNS,1,48.0,0.0,56,0.857142857143,56,0,1,1.0,56.0,0.0,48,
32,88,0,0,0.416666666667,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.363636363636,DNS,1,88.0,0.0,96,0.916666666667,96,0,1,1.0,96.0,0.0,88,
32,48,0,0,0.714285714286,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.666666666667,DNS,1,48.0,0.0,56,0.857142857143,56,0,1,1.0,56.0,0.0,48,
32,48,0,0,0.714285714286,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.666666666667,DNS,1,48.0,0.0,56,0.857142857143,56,0,1,1.0,56.0,0.0,48,
36,92,0,0,0.44,1,36.0,0.0,44,0.818181818182,44,0,1,1.0,44.0,0.0,36,0,1.0,0.391304347826,DNS,1,92.0,0.0,100,0.92,100,0,1,1.0,100.0,0.0,92,
32,60,0,0,0.588235294118,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.533333333333,DNS,1,60.0,0.0,68,0.882352941176,68,0,1,1.0,68.0,0.0,60,
204,2953,3857,457,1.19362363919,2,2030.5,1826.5,4605,0.881867535288,236,32,17,8.5,270.882352941,483.736909822,4061,1,1.21428571429,1.19090909091,SSL,2,1705.0,1248.0,3858,0.883877656817,32,1480,14,7.0,275.571428571,497.265912521,3410,
41,346,0,0,0.138418079096,1,41.0,0.0,49,0.836734693878,49,0,1,1.0,49.0,0.0,41,0,1.0,0.118497109827,DNS,1,346.0,0.0,354,0.977401129944,354,0,1,1.0,354.0,0.0,346,
32,48,0,0,0.714285714286,1,32.0,0.0,40,0.8,40,0,1,1.0,40.0,0.0,32,0,1.0,0.666666666667,DNS,1,48.0,0.0,56,0.857142857143,56,0,1,1.0,56.0,0.0,48,
323,79107,0,0,0.0261437100582,1,323.0,0.0,2115,0.152718676123,355,32,56,56.0,37.7678571429,42.7755734166,323,1,1.0,0.00408307735093,HTTP,1,79107.0,0.0,80899,0.977848922731,32,1480,56,56.0,1444.625,203.13239547,79107,
