bulk0,bulk1,bulk2,bulk3,byte_ratio,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_effeciency,client_packet0,client_packet1,client_packets,client_packets_per_bulk,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,packet_ratio,payload_ratio,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_efficiency,server_packet0,server_packet1,server_packets,server_packets_per_bulk,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
36,92,0,0,0,1,36.0,0.0,44,0,44,0,1,1,44.0,0.0,36,0,1,0,DNS,1,92.0,0.0,100,0,100,0,1,1,100.0,0.0,92,
32,48,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,48.0,0.0,56,0,56,0,1,1,56.0,0.0,48,
32,132,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,132.0,0.0,140,0,140,0,1,1,140.0,0.0,132,
32,60,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,60.0,0.0,68,0,68,0,1,1,68.0,0.0,60,
36,84,0,0,0,1,36.0,0.0,44,0,44,0,1,1,44.0,0.0,36,0,1,0,DNS,1,84.0,0.0,92,0,92,0,1,1,92.0,0.0,84,
510,1448,0,0,0,1,510.0,0.0,574,0,542,32,2,2,287.0,255.0,510,1,1,0,HTTP,1,1448.0,0.0,1512,0,32,1480,2,2,756.0,724.0,1448,MPEG
32,48,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,48.0,0.0,56,0,56,0,1,1,56.0,0.0,48,
32,88,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,88.0,0.0,96,0,96,0,1,1,96.0,0.0,88,
32,48,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,48.0,0.0,56,0,56,0,1,1,56.0,0.0,48,
32,48,0,0,0,1,32.0,0.0,40,0,40,0,1,1,40.0,0.0,32,0,1,0,DNS,1,48.0,0.0,56,0,56,0,1,1,56.0,0.0,48,
36,92,0,0,0,1,36.0,0.0,44,0,44,0,1,1,44.0,0.0,36,0,1,0,DNS,1,92.0,0.0,100,0,100,0,1,1,100.0,0.0,92,
